Iterations,Accuracy (%),Agg,NonIID,Group
519948,43.54967948717949,Gossip,True,clique 1
529947,43.10897435897436,Gossip,True,clique 1
539946,42.868589743589745,Gossip,True,clique 1
549945,42.58814102564103,Gossip,True,clique 1
559944,41.52644230769231,Gossip,True,clique 1
569943,42.34775641025641,Gossip,True,clique 1
579942,43.15905448717949,Gossip,True,clique 1
589941,43.03886217948718,Gossip,True,clique 1
599940,42.79847756410256,Gossip,True,clique 1
609939,43.29927884615385,Gossip,True,clique 1
619938,42.43790064102564,Gossip,True,clique 1
629937,42.73838141025641,Gossip,True,clique 1
639936,42.91866987179487,Gossip,True,clique 1
649935,43.359375,Gossip,True,clique 1
659934,43.0088141025641,Gossip,True,clique 1
669933,42.858573717948715,Gossip,True,clique 1
679932,43.02884615384615,Gossip,True,clique 1
689931,43.359375,Gossip,True,clique 1
699930,43.50961538461539,Gossip,True,clique 1
709929,43.49959935897436,Gossip,True,clique 1
719928,43.75,Gossip,True,clique 1
729927,43.95032051282051,Gossip,True,clique 1
739926,43.55969551282051,Gossip,True,clique 1
749925,43.880208333333336,Gossip,True,clique 1
759924,43.489583333333336,Gossip,True,clique 1
769923,43.44951923076923,Gossip,True,clique 1
779922,43.60977564102564,Gossip,True,clique 1
789921,43.34935897435897,Gossip,True,clique 1
799920,45.40264423076923,Gossip,True,clique 1
809919,45.592948717948715,Gossip,True,clique 1
819918,46.354166666666664,Gossip,True,clique 1
829917,45.963541666666664,Gossip,True,clique 1
839916,46.00360576923077,Gossip,True,clique 1
849915,46.25400641025641,Gossip,True,clique 1
859914,46.18389423076923,Gossip,True,clique 1
869913,46.28405448717949,Gossip,True,clique 1
879912,46.10376602564103,Gossip,True,clique 1
889911,46.99519230769231,Gossip,True,clique 1
899910,46.764823717948715,Gossip,True,clique 1
909909,46.28405448717949,Gossip,True,clique 1
919908,46.34415064102564,Gossip,True,clique 1
929907,46.955128205128204,Gossip,True,clique 1
939906,46.66466346153846,Gossip,True,clique 1
949905,46.49439102564103,Gossip,True,clique 1
959904,47.12540064102564,Gossip,True,clique 1
969903,46.774839743589745,Gossip,True,clique 1
979902,46.12379807692308,Gossip,True,clique 1
989901,46.53445512820513,Gossip,True,clique 1
999900,46.36418269230769,Gossip,True,clique 1
1009899,46.10376602564103,Gossip,True,clique 1
1019898,46.39423076923077,Gossip,True,clique 1
1029897,46.60456730769231,Gossip,True,clique 1
1039896,47.46594551282051,Gossip,True,clique 1
1049895,47.35576923076923,Gossip,True,clique 1
1059894,46.72475961538461,Gossip,True,clique 1
1069893,47.395833333333336,Gossip,True,clique 1
1079892,47.02524038461539,Gossip,True,clique 1
1089891,47.005208333333336,Gossip,True,clique 1
