Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
570,43.50961538461539,0.125,Dissensus,1,All
600,43.51963141025641,0.125,Dissensus,1,All
630,43.53966346153846,0.125,Dissensus,1,All
660,43.619791666666664,0.125,Dissensus,1,All
690,43.62980769230769,0.125,Dissensus,1,All
720,43.639823717948715,0.125,Dissensus,1,All
750,43.68990384615385,0.125,Dissensus,1,All
780,43.75,0.125,Dissensus,1,All
810,43.73998397435897,0.125,Dissensus,1,All
840,43.80008012820513,0.125,Dissensus,1,All
870,43.94030448717949,0.125,Dissensus,1,All
900,43.93028846153846,0.125,Dissensus,1,All
930,44.07051282051282,0.125,Dissensus,1,All
960,44.20072115384615,0.125,Dissensus,1,All
990,44.23076923076923,0.125,Dissensus,1,All
1020,44.29086538461539,0.125,Dissensus,1,All
1050,44.44110576923077,0.125,Dissensus,1,All
1080,44.51121794871795,0.125,Dissensus,1,All
1110,44.71153846153846,0.125,Dissensus,1,All
1140,44.69150641025641,0.125,Dissensus,1,All
1170,44.791666666666664,0.125,Dissensus,1,All
1200,44.841746794871796,0.125,Dissensus,1,All
1230,44.94190705128205,0.125,Dissensus,1,All
1260,44.8818108974359,0.125,Dissensus,1,All
1290,45.04206730769231,0.125,Dissensus,1,All
1320,45.13221153846154,0.125,Dissensus,1,All
1350,45.25240384615385,0.125,Dissensus,1,All
1380,45.30248397435897,0.125,Dissensus,1,All
1410,45.3125,0.125,Dissensus,1,All
1440,45.392628205128204,0.125,Dissensus,1,All
1470,45.49278846153846,0.125,Dissensus,1,All
0,38.55168269230769,0.125,Dissensus,1,Clique A
30,39.26282051282051,0.125,Dissensus,1,Clique A
60,40.1943108974359,0.125,Dissensus,1,Clique A
90,43.669871794871796,0.125,Dissensus,1,Clique A
120,45.442708333333336,0.125,Dissensus,1,Clique A
150,46.30408653846154,0.125,Dissensus,1,Clique A
180,46.774839743589745,0.125,Dissensus,1,Clique A
210,47.005208333333336,0.125,Dissensus,1,Clique A
240,47.135416666666664,0.125,Dissensus,1,Clique A
270,47.19551282051282,0.125,Dissensus,1,Clique A
300,47.345753205128204,0.125,Dissensus,1,Clique A
330,47.43589743589744,0.125,Dissensus,1,Clique A
360,47.546073717948715,0.125,Dissensus,1,Clique A
390,47.67628205128205,0.125,Dissensus,1,Clique A
420,47.67628205128205,0.125,Dissensus,1,Clique A
450,47.756410256410255,0.125,Dissensus,1,Clique A
