Iterations,Accuracy (%),Agg,Bucketing,RandomEdge,Group
120,50.45072115384615,TM,False,False,clique 1
150,50.520833333333336,TM,False,False,clique 1
180,50.500801282051285,TM,False,False,clique 1
210,50.60096153846154,TM,False,False,clique 1
240,50.66105769230769,TM,False,False,clique 1
270,50.63100961538461,TM,False,False,clique 1
300,50.63100961538461,TM,False,False,clique 1
330,50.66105769230769,TM,False,False,clique 1
360,50.71113782051282,TM,False,False,clique 1
390,50.71113782051282,TM,False,False,clique 1
420,50.71113782051282,TM,False,False,clique 1
450,50.72115384615385,TM,False,False,clique 1
480,50.72115384615385,TM,False,False,clique 1
510,50.72115384615385,TM,False,False,clique 1
540,50.72115384615385,TM,False,False,clique 1
570,50.72115384615385,TM,False,False,clique 1
600,50.72115384615385,TM,False,False,clique 1
630,50.72115384615385,TM,False,False,clique 1
660,50.73116987179487,TM,False,False,clique 1
690,50.73116987179487,TM,False,False,clique 1
720,50.73116987179487,TM,False,False,clique 1
750,50.73116987179487,TM,False,False,clique 1
780,50.73116987179487,TM,False,False,clique 1
810,50.73116987179487,TM,False,False,clique 1
840,50.73116987179487,TM,False,False,clique 1
870,50.73116987179487,TM,False,False,clique 1
0,44.220753205128204,TM,False,False,clique 2
30,45.76322115384615,TM,False,False,clique 2
60,46.15384615384615,TM,False,False,clique 2
90,46.45432692307692,TM,False,False,clique 2
120,46.73477564102564,TM,False,False,clique 2
150,46.764823717948715,TM,False,False,clique 2
180,46.94511217948718,TM,False,False,clique 2
210,46.78485576923077,TM,False,False,clique 2
240,46.85496794871795,TM,False,False,clique 2
270,46.78485576923077,TM,False,False,clique 2
300,47.02524038461539,TM,False,False,clique 2
330,47.03525641025641,TM,False,False,clique 2
360,47.17548076923077,TM,False,False,clique 2
390,46.55448717948718,TM,False,False,clique 2
420,47.20552884615385,TM,False,False,clique 2
450,47.25560897435897,TM,False,False,clique 2
480,47.17548076923077,TM,False,False,clique 2
510,47.19551282051282,TM,False,False,clique 2
540,47.25560897435897,TM,False,False,clique 2
570,47.28565705128205,TM,False,False,clique 2
600,47.27564102564103,TM,False,False,clique 2
630,47.28565705128205,TM,False,False,clique 2
660,47.28565705128205,TM,False,False,clique 2
690,47.27564102564103,TM,False,False,clique 2
720,47.27564102564103,TM,False,False,clique 2
750,47.27564102564103,TM,False,False,clique 2
780,47.27564102564103,TM,False,False,clique 2
