Iterations,Accuracy (%),Agg,ATK,Group,H.M.E.
720,95.16225961538461,MOZI,Dissensus,global,True
750,95.17227564102564,MOZI,Dissensus,global,True
780,95.14222756410257,MOZI,Dissensus,global,True
810,95.16225961538461,MOZI,Dissensus,global,True
840,95.2724358974359,MOZI,Dissensus,global,True
870,95.2323717948718,MOZI,Dissensus,global,True
0,11.348157051282051,TM,IPM,global,False
30,11.348157051282051,TM,IPM,global,False
60,11.348157051282051,TM,IPM,global,False
90,11.348157051282051,TM,IPM,global,False
120,11.348157051282051,TM,IPM,global,False
150,11.348157051282051,TM,IPM,global,False
180,11.348157051282051,TM,IPM,global,False
210,11.348157051282051,TM,IPM,global,False
240,11.348157051282051,TM,IPM,global,False
270,11.348157051282051,TM,IPM,global,False
300,11.348157051282051,TM,IPM,global,False
330,11.348157051282051,TM,IPM,global,False
360,11.348157051282051,TM,IPM,global,False
390,11.348157051282051,TM,IPM,global,False
420,11.348157051282051,TM,IPM,global,False
450,11.348157051282051,TM,IPM,global,False
480,11.348157051282051,TM,IPM,global,False
510,11.348157051282051,TM,IPM,global,False
540,11.348157051282051,TM,IPM,global,False
570,11.348157051282051,TM,IPM,global,False
600,11.348157051282051,TM,IPM,global,False
630,11.348157051282051,TM,IPM,global,False
660,11.348157051282051,TM,IPM,global,False
690,11.348157051282051,TM,IPM,global,False
720,11.348157051282051,TM,IPM,global,False
750,11.348157051282051,TM,IPM,global,False
780,11.348157051282051,TM,IPM,global,False
810,11.348157051282051,TM,IPM,global,False
840,11.348157051282051,TM,IPM,global,False
870,11.348157051282051,TM,IPM,global,False
0,80.3886217948718,TM,IPM,global,True
30,86.2079326923077,TM,IPM,global,True
60,85.6270032051282,TM,IPM,global,True
90,86.5985576923077,TM,IPM,global,True
120,86.86899038461539,TM,IPM,global,True
150,85.96754807692308,TM,IPM,global,True
180,85.33653846153847,TM,IPM,global,True
210,84.22475961538461,TM,IPM,global,True
240,86.87900641025641,TM,IPM,global,True
270,87.17948717948718,TM,IPM,global,True
300,82.7724358974359,TM,IPM,global,True
330,81.62059294871794,TM,IPM,global,True
360,87.86057692307692,TM,IPM,global,True
390,85.91746794871794,TM,IPM,global,True
420,87.08934294871794,TM,IPM,global,True
450,86.57852564102564,TM,IPM,global,True
480,84.375,TM,IPM,global,True
510,83.91426282051282,TM,IPM,global,True
540,85.6270032051282,TM,IPM,global,True
570,81.54046474358974,TM,IPM,global,True
600,88.11097756410257,TM,IPM,global,True
630,87.2295673076923,TM,IPM,global,True
660,86.7588141025641,TM,IPM,global,True
690,87.60016025641026,TM,IPM,global,True
720,87.31971153846153,TM,IPM,global,True
750,88.05088141025641,TM,IPM,global,True
780,87.64022435897436,TM,IPM,global,True
810,85.35657051282051,TM,IPM,global,True
840,82.39182692307692,TM,IPM,global,True
870,84.8056891025641,TM,IPM,global,True
0,9.805689102564102,TM,ALIE,global,False
